id	label
0	acts_upstream_of
1	acts_upstream_of_negative_effect
2	acts_upstream_of_or_within
3	acts_upstream_of_or_within_negative_effect
4	acts_upstream_of_or_within_positive_effect
5	acts_upstream_of_positive_effect
6	adjacent_to
7	anastomoses_with
8	anterior_to
9	anteriorly_connected_to
10	attaches_to
11	attaches_to_part_of
12	bounding_layer_of
13	branching_part_of
14	capable_of
15	channel_for
16	channels_from
17	channels_into
18	colocalizes_with
19	composed_primarily_of
20	conduit_for
21	connected_to
22	connects
23	contains
24	continuous_with
25	contraindication
26	contributes_to
27	contributes_to_morphology_of
28	deep_to
29	derived_from_ancestral_fusion_of
30	derives_from
31	developmentally_induced_by
32	developmentally_replaces
33	develops_from
34	develops_from_part_of
35	develops_in
36	directly_develops_from
37	disease_arises_from_feature
38	disease_causes_feature
39	disease_has_feature
40	disease_has_major_feature
41	disease_shares_features_of
42	distal_to
43	distally_connected_to
44	distalmost_part_of
45	dorsal_to
46	drains
47	enables
48	ends
49	ends_during
50	ends_with
51	excluded_subClassOf
52	existence_ends_during
53	existence_ends_during_or_before
54	existence_ends_with
55	existence_starts_and_ends_during
56	existence_starts_during
57	existence_starts_during_or_after
58	existence_starts_with
59	expressed_in
60	extends_fibers_into
61	filtered_through
62	happens_during
63	has_boundary
64	has_characteristic
65	has_component
66	has_developmental_contribution_from
67	has_member
68	has_muscle_antagonist
69	has_muscle_insertion
70	has_muscle_origin
71	has_no_connections_with
72	has_part
73	has_phenotype
74	has_potential_to_develop_into
75	has_potential_to_developmentally_contribute_to
76	has_skeleton
77	has_soma_location
78	has_symbol
79	immediate_transformation_of
80	immediately_anterior_to
81	immediately_deep_to
82	immediately_posterior_to
83	immediately_preceded_by
84	immediately_superficial_to
85	in_anterior_side_of
86	in_central_side_of
87	in_deep_part_of
88	in_distal_side_of
89	in_dorsal_side_of
90	in_innermost_side_of
91	in_lateral_side_of
92	in_left_side_of
93	in_outermost_side_of
94	in_posterior_side_of
95	in_proximal_side_of
96	in_right_side_of
97	in_superficial_part_of
98	in_ventral_side_of
99	indication
100	indirectly_supplies
101	innervated_by
102	innervates
103	interacts_with
104	intersects_midsagittal_plane_of
105	involved_in
106	is_a
107	is_active_in
108	lacks_part
109	layer_part_of
110	located_in
111	location_of
112	lumen_of
113	luminal_space_of
114	metabolized_by
115	mutually_spatially_disjoint_with
116	negatively_regulates
117	occurs_in
118	off-label use
119	output_of
120	overlaps
121	part_of
122	part_of_progression_of_disease
123	participates_in
124	positively_regulates
125	postaxialmost_part_of
126	posterior_to
127	posteriorly_connected_to
128	preaxialmost_part_of
129	preceded_by
130	precedes
131	predisposes_towards
132	produced_by
133	produces
134	protects
135	proximal_to
136	proximally_connected_to
137	proximalmost_part_of
138	regulates
139	related_to_disease
140	serially_homologous_to
141	sexually_homologous_to
142	skeleton_of
143	starts
144	subdivision_of
145	superficial_to
146	supplies
147	surrounded_by
148	surrounds
149	symptomatic treatment
150	synapsed_by
151	targets
152	transformation_of
153	transported_by
154	tributary_of
155	trunk_part_of
156	union_of
157	ventral_to
